"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.243896510E-1,8.533895016E-4,9.031556547E-3,2.658557892E-2,2.809075104E-2
3.291195470E-1,-1.541912556E-3,4.184260964E-3,9.663581848E-3,1.064285433E-2
3.338493910E-1,1.258581877E-2,1.590228826E-2,3.069972992E-2,3.679346441E-2
3.385792870E-1,9.972214699E-3,-5.541913211E-3,1.136207581E-2,1.610138611E-2
3.433091300E-1,3.908574581E-4,-7.301270962E-4,1.118183136E-2,1.121245770E-2
3.480390260E-1,1.452648640E-2,8.720427752E-3,1.581192017E-3,1.701660470E-2
3.527689220E-1,1.654863358E-2,1.808347553E-2,-7.963180542E-4,2.452556794E-2
3.574987660E-1,1.388454437E-2,-1.042217016E-3,2.986907959E-2,3.295494962E-2
3.622286620E-1,2.541396022E-2,-9.302124381E-4,4.121685028E-2,4.843101709E-2
3.669585050E-1,1.088789105E-2,8.529923856E-3,5.476474762E-2,5.648436380E-2
3.716884010E-1,3.652900457E-3,1.310772449E-2,4.453372955E-2,4.656618076E-2
3.764182970E-1,1.242160797E-3,-3.558866680E-3,1.321792603E-2,1.374489228E-2
3.811481410E-1,2.010932565E-2,-1.057748497E-2,5.950927734E-3,2.348790555E-2
3.858780370E-1,5.609959364E-3,3.775209188E-3,1.767349243E-2,1.892290103E-2
3.906079320E-1,7.835328579E-4,-9.874552488E-4,2.923965454E-2,2.926681379E-2
3.953377760E-1,5.525767803E-3,6.150357425E-3,3.829097748E-2,3.917345992E-2
4.000676720E-1,3.119826317E-3,-3.339625895E-3,1.888370514E-2,1.942886351E-2
4.047975160E-1,5.471646786E-3,2.506864816E-2,1.627063751E-2,3.038272016E-2
4.095274120E-1,-2.520382404E-2,1.997206360E-2,1.133060455E-2,3.409543474E-2
4.142572550E-1,-5.887389183E-3,-1.657083631E-3,-1.245212555E-2,1.387309296E-2
4.189871510E-1,1.336842775E-3,2.990514040E-3,-2.175235748E-2,2.199762212E-2
4.237170470E-1,-1.047134399E-2,-1.820981503E-3,-1.911735535E-2,2.187323237E-2
4.284468910E-1,1.481950283E-3,2.970613539E-3,-7.058143616E-3,7.799879021E-3
4.331767870E-1,-8.997023106E-4,6.095170975E-4,-1.879692078E-2,1.882830863E-2
4.379066820E-1,1.091036201E-2,-8.875519037E-3,1.217842102E-2,1.860442893E-2
4.426365260E-1,-1.050826907E-2,-1.689009368E-3,4.937171936E-3,1.173252480E-2
4.473664220E-1,1.531451941E-3,-1.351548731E-2,-4.587173462E-3,1.435464743E-2
4.520963180E-1,2.047312260E-2,-2.050291747E-2,-2.346611023E-2,3.728507346E-2
4.568261620E-1,-1.031458378E-3,-1.315508038E-2,-2.556324005E-2,2.876802545E-2
4.615560570E-1,-8.147478104E-3,-5.893215537E-3,-2.290534973E-2,2.501532401E-2
4.662859010E-1,-3.405600786E-3,-1.291766018E-2,-3.707885742E-3,1.386407147E-2
4.710157970E-1,-1.517526805E-2,-1.749669760E-2,-1.550579071E-2,2.787207802E-2
4.757456410E-1,-1.027157903E-2,1.592814922E-3,-8.233070374E-3,1.325993374E-2
4.804755370E-1,1.625001431E-3,-1.028157026E-2,-1.998233795E-2,2.253098193E-2
4.852054320E-1,-5.581378937E-3,2.060091496E-2,-1.976585388E-2,2.909017820E-2
4.899352760E-1,-8.121132851E-4,-1.037108898E-2,-2.429199219E-2,2.642574311E-2
4.946651720E-1,-7.852137089E-3,-8.314326406E-4,-2.166938782E-2,2.306316772E-2
4.993950680E-1,-6.041228771E-4,1.574613899E-2,-2.144527435E-2,2.661213350E-2
5.041249120E-1,-5.306690931E-3,8.459597826E-3,-2.359390259E-2,2.562026548E-2
5.088548070E-1,-5.399882793E-4,8.385717869E-3,1.219177246E-2,1.480713231E-2
