"event","experiment time","system time","system time text"
"START",0.000000000E0,1712781291.431,"2024-04-10 17:34:51.431 UTC-03:00"
"PAUSE",3.196949926E1,1712781323.401,"2024-04-10 17:35:23.401 UTC-03:00"
