"event","experiment time","system time","system time text"
"START",0.000000000E0,1712781753.736,"2024-04-10 17:42:33.736 UTC-03:00"
"PAUSE",4.811306040E1,1712781801.849,"2024-04-10 17:43:21.849 UTC-03:00"
